NAME	DISTANCE_FIRST	DISTANCE_FIRST_ERROR	DISTANCE_SECOND	DISTANCE_SECOND_ERROR	DIFFERENCE	DIFFERENCE_ERROR
14838	39.107610614413005	0.8381785113976163	51.440329218106996	3.2547121881826953	-12.33271860369399	3.360906818832339
18170	40.9020048222674	2.93618361457066	41.42502071251035	1.5444291069287206	-0.5230158902429523	3.317594834334336
18735	38.854267136834224	1.369730956507516	45.47521600727604	1.675076169435816	-6.620948870441815	2.1638029176953157
20205	44.94890902880092	0.4756444808170864	47.23665564478035	2.610622914709164	-2.2877466159794295	2.653599381017475
20261	43.507543790591804	1.4893389480411603	47.16981132075472	2.202741189035244	-3.6622675301629144	2.6589846272637137
20400	42.412913068256664	2.6032408311792996	45.72473708276177	2.0071215180361817	-3.311824014505106	3.2871567673725206
20455	47.51629744857027	0.47645995706653316	46.97040864255519	2.05178393788522	0.5458888060150784	2.10637874525253
20542	45.06187039141562	1.446463747089237	44.72271914132379	1.760107014506482	0.3391512500918239	2.2782085229755324
20635	47.21723002046411	1.503652344462572	47.01457451810061	1.7682961736944283	0.20265550236349839	2.3211724905551816
20711	42.26942382824494	0.7854565647363415	47.460844803037496	1.8020254315344089	-5.191420974792557	1.9657664334768226
20713	43.373743222239035	4.5377008265010526	47.93863854266539	1.9304149748724317	-4.564895320426352	4.931250426214437
20842	47.55534036219393	4.204158571516936	47.961630695443645	1.9782734963108648	-0.4062903332497143	4.646344296397474
20885	47.37529356118704	0.4853129691083703	48.402710551790896	1.9913990304463822	-1.0274169906038537	2.049682603831035
20889	45.12621729544459	0.403639562479633	47.528517110266165	1.852347149734708	-2.402299814821575	1.8958150910700775
20894	43.341932902733035	0.4514579198169558	45.682960255824575	1.7321542719202556	-2.3410273530915404	1.7900203001913257
20901	45.48097529589755	4.687174980081418	49.18839153959666	2.032378204292238	-3.7074162436991074	5.108832592597196
21029	46.66856162612917	2.0711827289921256	44.36557231588288	1.5155940853251915	2.3029893102462893	2.5664807282245414
21036	42.287867286550224	1.3495342552943046	45.78754578754579	1.8658844208294758	-3.4996785009955644	2.302773844324905
21039	45.14830119710423	0.5352072949759106	44.34589800443459	2.14354895010349	0.8024031926696438	2.2093548719219385
21137	38.74319014775086	2.7045316981389593	44.943820224719104	2.3027395530867314	-6.200630076968245	3.5520559054705885
21152	39.78641571816683	1.0728960048589757	43.2338953739732	1.719636132471048	-3.4474796558063687	2.026882893840277
21459	46.14636094537459	1.3271848345950392	44.24778761061947	1.4879786984102121	1.8985733347551204	1.9938656404335802
21589	47.795566368239356	5.364708454606184	45.892611289582376	1.663844099071596	1.90295507865698	5.616802826247192
21683	47.430246740979385	3.386161379374163	48.75670404680643	1.949317275396454	-1.3264573058270486	3.9071635142804286
22044	40.403986890677466	0.7002955673343974	48.239266763145196	2.0477836349043788	-7.83527987246773	2.164216185368365
22176	48.17679995950167	0.5261458897244382	92.50693802035153	8.044081566987089	-44.330138060849855	8.061270232017742
22203	46.82086590534784	1.0642432965291535	51.49330587023687	2.89020099889589	-4.67243996488903	3.0799148702887944
22565	45.06779777633959	1.5441958173762427	57.903879559930516	2.74934459983457	-12.836081783590927	3.153321495033736
23497	47.93547440924264	2.1847016450005428	49.97501249375312	2.2727267051132105	-2.0395380845104825	3.1524923400070026
23983	51.54074093098507	0.7161372256142009	53.93743257820928	2.4146747054969637	-2.396691647224209	2.518631862594701
